UPC,Description,Unit Cost,Qty
8700216185783,FEBREZE AIR 185ML WHITE JASMINE,2.25,8
046500053351,GLADE 2PK OIL RFL .67z RADINT BLOOM,3.75,6
046500029547,GLADE 3.4z 2PK CANDLE AQUA WAVE,5.0,3
046500055638,GLADE 4.08z 2PK CANDLE MIGHTY MANGO,4.8,3
046500053283,GLADE 6.8z CANDLE RADIANT BLOOM,3.6,3
50204977,GLADE SOLID 150GM LILY OF THE VALLY,1.5,8
046500049316,GLADE 2PK OIL RFL .67z YUZU/WHT PCH,3.75,6
046500037054,GLADE 3.4z 2PK CANDLE SUNSHINE CTRS,5.0,3
046500055614,GLADE 4.08z 2PK CANDLE RADINT BLOOM,4.8,3
50204649,GLADE SOLID 150GM LAVENDER,1.5,8
5000204123098,GLADE SOLID 150GM PURE CLEAN LINEN,1.5,8
5000204539752,GLADE SOLID 150GM RELAXING ZEN,1.5,8
019200793292,LYSOL 19oz DISFCT SPRY CRISP LINEN,5.25,12
019200793261,LYSOL 19oz DISFCT SPRY SPRNG WTRFLL,5.25,12
019200741866,LYSOL 12.5z DISNFCT SPY CRISP LINEN,3.6,12
019200878708,LYSOL 19oz DISFCT SPRY LEMON BRZE,5.25,12
4800888217905,DOVE 1lit BABY WSH RCH MSTRE PMP,5.75,12
8710447362945,DOVE 400ML BABY LOTION RICH MSTRE,3.5,6
8886467062780,DOVE 50CT BABY WIPE RICH MSTR PDQ,1.35,48
4800888208941,DOVE 591ML BABY WASH SNTV MOIST PMP,4.0,4
4800888217936,DOVE 1Lit BABY WSH SENSITIVE PMP,5.75,12
8710908657979,DOVE 400ML BABY SHMP RICH MSTRE,3.5,6
4800888208989,DOVE 591ML BABY WASH RICH MOIST PMP,4.0,4
8886467061738,DOVE BABY 50ct WIPES RICH MOISTURE,1.65,12
8886467061745,DOVE BABY 50ct WIPES SENSITIVE,1.65,12
5029053550176,HUGGIES 168CT(3x56) ALOE BABY WIPE,3.6,4
5029053567822,HUGGIES 56CT BBY WIPES ALL OVER CLN,1.2,10
5029053550039,HUGGIES 56CT REFILL WIPES PURE,1.2,10
3574661858906,J&J 300ML BABY LOTION W/ALOE,2.0,12
5029053550091,HUGGIES 168CT(3PKx56CT) PURE WIPES,3.6,4
5029053550183,HUGGIES 4PK 224CT BABY WIPES ALOE,4.8,3
5029053550152,HUGGIES 56CT REFILL WIPES ALOE,1.2,10
3574669909594,J&J 200ML BABY OIL,2.0,6
3574669907903,J&J 500ML BABY SHAMPOO TEAR DROP,3.0,12
3574669909945,J&J 500ML TOP-TO-TOE WASH W/ PUMP,3.25,12
3574669907927,J&J 750ML BABY SHAMPOO W/PUMP,3.6,12
030772158241,LUVS 18CT SIZE 7 PLTNM PRTCT DIAPER,6.88,4
030772158234,LUVS 28CT SIZE 4 PLTNM PRTCT DIAPER,6.88,4
030772158128,LUVS 38CT SIZE 2 PLTNM PRTCT DIAPER,6.88,2
3574669908511,J&J 750ML BABY BUBBLE BATH W/PMP,3.6,12
3574669907910,J&J 750ML BABY SHMP CHMMLE W/PMP,3.6,12
030772158227,LUVS 24CT SIZE 5 PLTNM PRTCT DIAPER,6.88,4
030772158104,LUVS 32CT SIZE 3 PLTNM PRTCT DIAPER,6.88,4
030772188873,,0.75,40
8001841077949,PAMPERS 4PK 208CT(4X52) FRSH WIPES,5.4,3
8001841041360,PAMPERS 52CT BABY WIPE FRSH CLN,1.35,12
8001841041391,PAMPERS 52CT BABY WIPE SSNTV SOFT,1.35,12
8001841062624,PAMPERS 4PK 208CT(4X52) SSNST WIPES,5.4,3
6008811041391,PAMPERS 52CT BABY WIPES SENSITIVE,1.35,12
039800900586,ENERGIZER MAX AA 12PK BATTERIES,4.25,24
039800109941,ENERGIZER MAX AA 20pk BATTERIES,6.5,12
039800108050,ENERGIZER MAX AAA 8PK BATTERIES,3.0,24
039800108036,ENERGIZER MAX AA 16PK BATTERIES,5.75,12
039800011329,ENERGIZER MAX AA 4pk BATTERIES,1.65,24
039800011367,ENERGIZER MAX C 2PK BATTERIES,2.5,12
815195014653,A&H 32z BW CLEAR WATER PMP,2.4,6
815195014646,A&H 32z ULT MAX COOL 3n1 BW/SH/CD,2.4,6
3614223413973,ADIDAS 13.5z BW ADIPURE PERFRMNCE,2.4,12
3616303444136,ADIDAS 400ML BW DEEP CARE,2.4,12
815195014660,A&H 32z BW SIMPLY FRESH PMP,2.4,6
815195014639,A&H 32z ULT MAX FRESH 3n1 BW/SH/CD,2.4,6
3616303458973,ADIDAS 400ML BW 3n1 ICE DIVE,2.4,12
3616303444341,ADIDAS 400ML BW SKIN DETOX,2.4,12
6920714802995,ADIDAS 600ML 3n1 AFTER SPORT W/PMP,3.6,6
6920714803176,ADIDAS 600ML 3n1 ICE DIVE W/PMP,3.6,6
6920714803367,ADIDAS 750ML BW DEEP CARE W/PMP,4.25,6
3616303443962,ADIDAS 8.4z SHWR GEL COOL DOWN,1.65,12
3616303444563,ADIDAS 8.4z SHWR GEL DEEP CLEAN,1.65,12
6920714802971,ADIDAS 600ml 3n1 DYNAMIC W/PMP,3.6,6
6920714803213,ADIDAS 600ML 3n1 VICTORY LEAGUE PMP,3.6,6
3616304240508,ADIDAS 8.4z SHWR GEL 3n1 DYNMC PLSE,1.65,12
3616303444075,ADIDAS 8.4z SHWR GEL DEEP CARE,1.65,12
3616303444273,ADIDAS 8.4z SHWR GEL SKIN DETOX,1.65,12
3616303444181,ADIDAS 8.4z SHWR GEL SLEEP CALM LAV,1.65,12
8901030866852,AXE 13.5z BW BLACK,2.25,12
8901030912658,AXE 33.8z 3n1 BLACK BDY/FCE/HAR,4.85,12
8901030866777,AXE 8.4oz 3n1 AFRICA BDY/FACE/HAIR,1.25,12
8901030866746,AXE 8.4oz BW BLACK 3n1,1.25,12
5060120164919,ARGAN OIL 10z HAND & BW W/MRRCN OIL,1.75,12
8901030866791,AXE 13.5z BW EXCITE,2.25,12
8901030912634,AXE 33.8z 3n1 DARK TEMP BDY/FCE/HAR,4.85,12
8901030866739,AXE 8.4oz BW ALASKA 3n1,1.25,12
8901030866753,AXE 8.4oz BW EXCITE 3n1,1.25,12
8901030866784,AXE 8.4oz BW SPORT BLAST 3n1,1.25,12
8901030848667,AXE 8.4z 3n1 DARK TEMP BDY/FCE/HAIR,1.25,12
8005139333328,BLUMA 33.8z BW COCONUT W/PMP,2.25,12
8005139333106,BLUMA 33.8z BW LAVENDER W/PMP,2.25,12
8005139333380,BLUMA 33.8z BW PURPLE IRIS W/PMP,2.25,12
8901030866760,AXE 8.4z 3n1 APOLLO BDY/FCE/HAIR,1.25,12
8005139333397,BLUMA 33.8z BW BLUE IRIS W/PMP,2.25,12
8005139333359,BLUMA 33.8z BW GNGR SHEA BTR W/PMP,2.25,12
8005139333366,BLUMA 33.8z BW MILK & HONEY W/PMP,2.25,12
8005139333342,BLUMA 33.8z BW RASPBERRY W/PMP,2.25,12
8005139333373,BLUMA 33.8z BW ROSE & HONEY W/PMP,2.25,12
8005139333311,BLUMA 33.8z BW WHITE MUSK W/PMP,2.25,12
011111022676,DOVE 10.5z OATMEAL CLDULA OIL BODY,5.25,12
8999999028138,DOVE 200ML BW GENTLE EXFOLIATING,1.3,24
8999999540562,DOVE 200ML BW RELAXING RITUAL LVNDR,1.3,24
8005139333335,BLUMA 33.8z BW TALC W/PMP,2.25,12
017000018744,DIAL 16oz BW SPRING WATER,2.65,6
8999999030582,DOVE 200ML BW DEEPLY NOURISHING,1.3,24
8999999030599,DOVE 200ML BW GO FRESH CUCUMBER,1.3,24
8999999028114,DOVE 200ML BW REVIVE POMEGRANATE,1.3,24
8720181462986,DOVE 225ML BW(IT) FRESH HYDRATION,1.65,12
8720181457470,DOVE 225ML BW(IT) INTNSE NRSHMNT,1.65,12
850068951598,DOVE 33.8z BW DEEPLY NRSHING PMP,5.75,12
8720181494307,DOVE 450ML BW INDULGING CARING BATH,2.75,12
8720181493348,DOVE 450ML(IT) BW FRESH SENSATION,2.75,12
8720181462931,DOVE 225ML BW(IT) GENTLE SCRUB,1.65,12
8720181460043,DOVE 225ML BW(IT) SWEET NRSHMNT ARG,1.65,12
850068951604,DOVE 33.8z BW REFRESHING CCMBR PMP,5.75,12
8720181492990,DOVE 450ML(IT) BW CUCUMBER,2.75,12
8720181494277,DOVE 450ML(IT) BW MSTRZNG IDRATANTE,2.75,12
8720181492976,DOVE 450ML(IT) BW REBALANCING,2.75,12
8720181471636,DOVE 720ML BW FRESH CARE,3.75,12
8720181471698,DOVE 720ML BW GENTLE PAMPER,3.75,12
8720181527920,DOVE 750ML(IT) BW HYDRATING,3.5,12
8720181527951,DOVE 750ML(IT) BW TALCO,3.5,12
8720181494338,DOVE 450ML(IT) BW SILK SETA,2.75,12
8720181468377,DOVE 720ML BW FRUITY NOURISH,3.75,12
8720181471582,DOVE 720ML BW PETAL SOFT,3.75,12
8720181527937,DOVE 750ML(IT) BW PRECIOUS SILK,3.5,12
5056267006830,ENLIVEN 16.9z BW GOLDEN OUD PUMP,2.5,6
035000996756,IRISH SPRING 20z 5n1 BW/SH/CD/FACE,3.0,4
827854028628,IRISH SPRING 20z 5n1 SEA SALT CEDAR,3.0,4
035000996626,IRISH SPRING 20z BW ALOE MIST,3.0,4
035000996619,IRISH SPRING 20z BW MOISTURE BLAST,3.0,4
035000996749,IRISH SPRING 20z BW ORIGINAL CLEAN,3.0,4
827854028529,IRISH SPRING 20z 5n1 HONEY & VETIVR,3.0,4
035000993618,IRISH SPRING 20z BW ACTIVE SCRUB,3.0,4
827854020547,IRISH SPRING 20z BW ICELANDIC NIGHT,3.0,4
035000994745,IRISH SPRING 20z BW MOUNTAIN CHILL,3.0,4
030772223567,IVORY 35z GENTLE BW CITRUS W/PUMP,5.25,4
030772018439,IVORY 35z GENTLE BW HONEY W/PUMP,5.25,4
030772018460,IVORY 35z GENTLE BW ORIGINAL W/PUMP,5.25,4
3574661384627,J&J 400ML BW NOURISH,1.95,12
812154038170,NATIVE 18z BW COTTON LILLY,5.25,6
030772180815,NATIVE 18z BW PINEAPPLE,5.75,6
030772127162,IVORY 35z GENTLE BW JOJOBA W/ PUMP,5.25,4
3574661384580,J&J 400ML BW ENERGISE,1.95,12
3574661384665,J&J 400ML BW PAMPER,1.95,12
030772180754,NATIVE 18z BW JARRITOS MANDARIN,5.25,6
030772176924,NATIVE 18z BW VANILLA SANDALWOOD,5.25,6
072140810849,NIVEA 16.9z BW MEN SENSITIVE,3.75,12
4005808130078,NIVEA 250ML BW CHSHMRE CTTN SEED OL,1.65,24
4005808130573,NIVEA 250ML BW MEN SENSITIVE,1.65,12
4005900690494,NIVEA 400ML MEN BW ENERGY,2.5,12
4005900690517,NIVEA 400ML MEN BW SPORT,2.5,12
072140026196,NIVEA 20z BW PMPRNG COCOA & SHEA,5.75,12
4005808795697,NIVEA 250ML BW COCONUT,1.65,24
4005808130115,NIVEA 250ML MEN ENERGY BW/HAIR/FACE,1.65,24
4005900690500,NIVEA 400ML MEN BW SENSITIVE,2.5,12
4005808130146,NIVEA 500ML MENS 3n1 BW ENERGY,2.88,12
4005808781935,NIVEA 500ML MENS 3n1 BW POWER,2.88,12
4005808135561,NIVEA 500ML MENS 3n1 BW SPORT,2.88,12
4006000095813,NIVEA 650ML BW BATH CREME SOFT,3.0,12
4005808134830,NIVEA 750ML B/W CREME SOFT ALMOND,3.6,12
037000815563,OLAY 18z BW SHEA BLUE LOTUS RIBBON,5.25,4
4005808810840,NIVEA 500ML MENS 3n1 BW SENSITIVE,2.88,12
4006000095837,NIVEA 650ML BW BATH CREME CARE,3.0,12
4005900998811,NIVEA 750ML B/W CCNT & JAJOBA OIL,3.6,12
4005900998828,NIVEA 750ML BW SHWR CRE ROSE & ALMN,3.6,12
037000481843,OLAY 18z BW SHEA LVNDER MSTR RIBBON,5.25,4
037000851615,OLAY 18z BW SHEA MANUKA MSTR RIBBON,5.25,4
037000974642,OLAY 22z BW ULT MOIST SHEA BUTTER,5.5,4
030772250327,OLAY 23.7z 3PK BW 3 TYPES,13.5,6
030772221020,OLAY 29z BW SHEA BUTTER W/PMP,7.0,4
030772254288,OLAY 2PK 22z BW AGE DEFY VIT E,11.0,2
030772225752,OLAY 20oZ BW WICKEDLY WNDRFL W/PMP,6.0,4
030772061497,OLAY 22z BW ULT MSTRE COCOA BUTTER,5.5,4
030772060124,OLAY 26z BW INTENSELY HYDRTE W/PMP,7.0,4
030772220573,OLAY 29z BW STRAWBERRY & MINT W/PMP,7.0,4
037000974741,OLAY 33z BW ULT MSTRE HYDRNT W/PMP,8.0,4
030772061480,OLAY 33z BW ULT MSTRE HYRTNT XFLTNG,8.0,4
037000972860,OLD SPICE 16oz BW KRAGENGARD,4.25,4
037000733621,OLD SPICE 16z BW CAPTAIN,4.25,4
037000064879,OLD SPICE 18z 2n1 SH/BW HE CRISP,4.4,4
8001090965431,OLD SPICE 250ML 3n1 CAPTAIN,2.25,6
037000974949,OLAY 33z BW ULT MSTRE SHEA BTR PMP,8.0,4
037000866800,OLD SPICE 16z BW BEARGLOVE,4.25,4
037000663959,OLD SPICE 16z BW NIGHTPANTER,4.25,4
037000123538,OLD SPICE 18z 3n1 SH/BW/CD HE CNDTN,4.4,4
8001841324883,OLD SPICE 250ML 3n1 DEEP SEA BW,2.25,6
012044065662,OLD SPICE 27z BW PURE SPORT PMP,6.0,4
037000695424,OLD SPICE 33.4z BW CRISP W/PMP,6.75,4
037000695394,OLD SPICE 33.4z BW KRAKENGARD W/PMP,6.75,4
850050048756,PEARS 16.9z BW LMN FLWR GRN W/PMP,2.4,6
